sample_id	aDC	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ memory T-cells	CD4+ naive T-cells	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD8+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	cDC	Chondrocytes	Class-switched memory B-cells	CLP	CMP	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	Hepatocytes	HSC	iDC	Keratinocytes	ly Endothelial cells	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	MEP	Mesangial cells	Monocytes	MPP	MSC	mv Endothelial cells	Myocytes	naive B-cells	Neurons	Neutrophils	NK cells	NKT	Osteoblast	pDC	Pericytes	Plasma cells	Platelets	Preadipocytes	pro B-cells	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	ImmuneScore	StromaScore	MicroenvironmentScore
GBX.DISC.PCA107.CEL	2.38292420045956e-18	0.00595328723193459	0	4.03481298436945e-19	0.375750640154098	0	0	4.57981544363196e-18	0	0	4.48670611219962e-18	1.31242418656056e-17	0	4.23591394621091e-19	0.0520982285036076	4.9973832491047e-17	0.0280516720814953	0.121514847922852	0	4.13283354678912e-19	0.0128059392019576	0	0	1.9678955554856e-18	0	4.00375929106352e-18	0.00465668633022117	0.0725839363424168	0.0361270168029509	1.3199773231116e-18	0.00798052636839337	0	0	0.0129766517514869	0.002762342794084	1.13814289925253e-18	0.00804851619158433	0.0126890178115723	0.0240020376669177	7.80689793377315e-19	0	3.22786677165766e-17	0.180475831112939	0.0259786775097631	0	0	0.00670694145878501	1.36273765588791e-18	2.3717146383426e-17	0.00266989026047512	0	0.034342794061195	0.151973278738199	0.00569493492679096	1.85103740119835e-17	1.2946100120586e-18	0.0306893135244157	2.19169241941217e-05	0.000519025348024476	0.441515924519	0	5.52017813093121e-19	0	6.24700566249021e-18	0.00184156186272269	0.00937961321694609	0.0112211750796688
GBX.DISC.PCA494.CEL	3.51495201901072e-19	0.00185211045959812	9.98411537352256e-18	0	0.234098524261778	0	0	0	0	0	3.61590865796511e-18	3.7463503745474e-18	0	0	0.0505431064436812	2.42048254363092e-17	0	0.115007294824614	3.44538709690142e-18	0	0.00182846993316872	3.80630091821352e-18	6.43765664396547e-21	0	1.42011945241172e-17	0	0.00403404452397832	0.151918613373366	0.135539706866018	5.32137875630817e-19	0.00210982571311002	1.1582349067017e-18	1.28178221783298e-19	0.0165365308292321	0.00294277157743328	0	0.00288896953269336	0.0196980029946315	0.065253477311158	0.00914885416722635	1.13213685826245e-18	0	0.142878526151755	0.0154220435514706	0.000236575444158731	0	0.00592812920687102	2.91594781312186e-18	2.25747791148303e-17	0.0542378768527181	3.31495242593673e-17	0	0.0306414255937543	0.0361955946410251	0	0	0.0303490889689346	0.000209092314356841	0.00477484504484512	0.416084386123052	0	2.03009678923594e-17	0.0543254943117833	0	0.00196184771828888	0.00184029019638343	0.0038021379146723
GBX.DISC.PCA62.CEL	2.85155331782187e-18	8.7463014352458e-19	0	0.00873385173972029	0.205725769510164	0.00213601073393971	0	3.78574653867656e-18	0.03257299958575	0	0.00689522093148554	0	6.32628016385279e-18	0	0.0693909012875278	1.82063191561282e-17	1.15251795395098e-19	0.159529904774811	0	0	0.00652653957756311	0	3.12564239006748e-19	0	1.90826611297698e-19	0	1.50654975504269e-18	0.094593136212786	0.0489771460658229	0	0	0	1.5632930149755e-18	0.0094907931844593	0.0125292239049394	0	0.00199135098098917	0	0.0243047580605908	4.00025371948983e-18	1.19184211356325e-17	1.26749752244752e-18	0.0546440591207229	0.0180089154265589	0	7.71904161322408e-23	0.00439547017788834	0	1.79015926676368e-17	0.0219284867429638	0	0.00160729890129085	0.0681713070122416	0.0235669919264165	0	0	0.0267546813343157	0.000415816717354741	3.96835592970622e-18	0.60055290508904	2.6154046017144e-18	0	0.00479126566599549	9.72609627953969e-21	0.0141753837631065	0.00326326978878156	0.0174386535518881
GBX.DISC.PCA74.CEL	2.15970489357142e-17	0	1.57589679223614e-18	0.0179121904844968	0.152209496589614	0.0294210925756927	7.27930756106788e-18	1.07339755288285e-17	0.00103730777258786	0	0.0185403521437473	1.06631858813786e-18	1.68281904894403e-17	0	0.0336840895487529	0	3.38305083961289e-19	0.12201498028587	1.24072167695147e-18	0	0	2.56325147898889e-20	0	1.37738037972342e-18	2.85035141194026e-17	0	9.97160835393314e-19	0.112918218034785	0.0963045724702752	0	0.00177766661837491	3.75508600390264e-18	0	0.00217677161078158	0.00430634679220138	0	3.66032620364036e-19	0	0.0259909964658622	1.11360003898487e-18	0	1.35610368770888e-17	1.69276779192351e-17	0.00538619182813261	0.000287510146343079	0.00232075476973814	0.0016236759482102	0	1.98022821039821e-17	0	0	0.00896289250295336	0	0.00869682654967589	8.65872075706411e-18	0	0.0220453544882672	2.16958590527082e-20	9.18905642252816e-18	0.804949472322468	0	0.0227592983262698	0.0225500843604726	6.30657718812728e-19	0.0148123581844655	1.42517570597013e-17	0.0148123581844655
GBX.DISC.PCA338.CEL	6.4331583176964e-19	9.43997400004652e-19	0	2.38075816311962e-18	0.211054645692796	3.18695715108857e-18	1.14849235366265e-18	3.94945442299491e-17	0	0	0	1.75402010651163e-17	0	0	0.0703619528981051	3.89140501728343e-17	0	0.188979763998087	1.95978003776393e-18	1.837902924361e-19	0.0127728414670407	0	0	8.20937542923317e-18	0	0	0.00107894592714377	0.191073755466796	0.11155171485928	1.0308125879192e-18	0.00332530899555381	1.7680327903739e-18	0	0.00752063380902453	0.00899375261091599	0.00202095715651822	0.00505238235854432	0.0018357075670244	0.0343504188857046	0	0	3.8615624789626e-17	0.172331478144599	0.0270249052405831	0.00374348472349132	0	0.00163731185587716	1.5406952106598e-18	5.6527941234602e-17	0	0	0.00258711264136704	0.0332213919139061	0.0141502656337745	1.34725645300913e-17	2.65690462096736e-18	0.0123003600515553	0	7.90663092745648e-20	0.51267837283731	3.12276856626117e-17	0.019356202629645	0.0583143132100791	0	0.00599583507394407	0.00638642073352037	0.0123822558074644
GBX.DISC.PCA255.CEL	0	0	0	0.0402577529728554	0.336929962586672	6.4609773376155e-20	0	1.41243665959928e-17	0.0284710808793742	1.5972106773882e-17	4.83423135531105e-18	1.55106687354664e-17	0	5.00881751819143e-17	0.06298653074559	3.31088492002165e-18	0	0.0303344207095376	0.00144283046906021	7.00725246780123e-21	0.00088872212222715	5.77406148516777e-19	0.00144098059674479	0	0	0	0.00428034162756784	0.0831183631284971	0.169797816120647	0	0.00117495163634696	0	0	0.0256590131271949	0.012636542398994	0	0.00619955379367641	0.0468647409396583	0.0100785414008284	0	2.2784587387072e-17	2.69349323237924e-17	0.121311197978591	0.0229810673914473	0.00528495539703837	0.00439208101625257	0.00539187154339388	2.49963278319954e-19	0	0.0426348643451404	0	0.0164300258058881	0.0760353326468245	0.0242014607699774	4.83999711616651e-19	0	0.0690920172410405	0.000107237302032147	5.8368906534224e-20	0.435858193407977	3.82741484864162e-19	0.000646356722358979	0.0847563779020625	0	0.0352628635812329	0.000444361061113575	0.0357072246423465
GBX.DISC.PCA128.CEL	0.0665318418290527	5.76548398811269e-19	0	0.0167084111771861	0.213882604132529	1.10451917694495e-18	1.95269725030285e-17	1.17290375597267e-17	0	0.0125685158326429	0	1.00046984460065e-18	6.89752430456465e-18	0	0.123196323868217	4.88453603745166e-18	0	0.0943931476715798	0	0	0.00884577874678928	3.84486220664446e-18	1.90709158040122e-20	0	1.10088172704472e-17	0	0.000637433050914157	0.0719725925674055	0.0461246171172309	0	0.00724674535639216	8.62610900331152e-19	1.61962147134964e-19	0.00535126497926848	0.00448171507577573	0.00425164490961736	0.00386971455935354	0.0149807251607859	0.0212979077933604	0.011307592068018	7.6343153798782e-19	7.68269781049185e-18	0.0352792009656369	0.0162551655803505	0.00471727713893566	9.70108080874635e-18	0.0055838368151051	0	5.31134225902546e-17	0.077133718859693	0.028240872511455	0.0184530504800404	0.00701545304325551	0.0245937010712774	2.08116725242948e-18	0	0.0251242107104617	2.35141038837244e-20	0	0.580578798137927	1.94473574864128e-17	0.0298798202106807	0.0605875093647206	6.44949089037103e-19	0.0141267508353079	0.00442288937339465	0.0185496402087026
GBX.DISC.PCA344.CEL	1.98418775796221e-17	0	0	0.000768062427963534	0.235825952623814	1.09109902698006e-18	2.77135533653355e-18	1.7539699782035e-17	0.000169823803097958	7.71872330970184e-19	0.000552119549328121	7.55000153171612e-18	0	0	0.0276402464890655	0	3.82172218200245e-18	0.195081812526031	0	0	0.0062783711925119	5.37896628358526e-18	0.00553819558192589	4.43901291302683e-18	0	0	1.70705689836213e-19	0.0590722943500621	0.142342326619285	0	0.00193686975889203	0	0	0.0127630827916498	0.00757566806161655	6.50950538091086e-23	0.0029360729960259	0.00684978147357647	0.0141724535985017	0.00716522545048436	2.08388919389252e-18	0	0.0172119922147777	0.0204239194137111	0.00616265906213622	0	0.00359740346474514	0	8.09791537227278e-17	0.0459192483536218	0	0.00102681028631451	0	0.0116838588361437	3.43048267113587e-18	0	0.0313966151943857	0	7.59833142771251e-20	0.648505380305257	0	0.0195618088326635	0.08990913978917	0	0.00556248699305347	0.00313918559625595	0.00870167258930942
GBX.DISC.PCA87.CEL	0.00996006039083703	8.16652985277361e-19	0	0.00848890217972785	0.164174410821428	0.0196771865500442	2.85897798479902e-18	8.28180345048874e-18	0	0.0169709621337612	0.0109517076503966	0	5.28363486447079e-18	1.0054312549141e-17	0.060616325038116	3.13131867098407e-18	0.00211039774857427	0.15132867555487	0	5.58370626820656e-19	6.54654137772944e-20	0	1.21784884819437e-19	1.19983467234519e-18	2.09413298036655e-17	0	1.24841871417124e-17	0.0558928925077582	0.0527342288707006	0	0.000367843836991119	0	2.98678302898717e-19	0.0159444152597967	0	0.00119457649532878	0	0	0.00386150789398704	0	0	8.22959527732829e-18	1.02740362251393e-17	0.00754881577871123	0	1.05292657195691e-19	0.00227675452130561	0	4.1970817040736e-17	1.05132896904104e-20	1.11541484964049e-17	0.01888470689131	1.02871463555111e-18	0.0175534743219261	0	0	0.0190032903583545	0.000500519011453175	8.02193770366814e-18	0.809230618139016	2.53025176362431e-17	4.65719707278238e-19	0.121640878557466	3.36233538223648e-18	0.0056592681198186	1.09117241013601e-17	0.00565926811981861
GBX.DISC.PCA369.CEL	0	0	0	0.00649897607509489	0.139560403189679	0.0257260326422872	0	0	0.00939027328357765	0.028358109381313	0.0229998162868184	6.00793858964137e-18	8.90979544769899e-18	1.22477775365986e-17	0.0458850828960125	0	0.00208185132756272	0.307544841817065	0	0	0	2.57871617433159e-18	1.74680884824111e-18	1.74670484244049e-17	1.27685091814816e-18	0	0	0.0471812518663787	0.073895630305415	1.31351849161451e-18	0.00117656001307288	1.31486266500562e-18	0	0.000845986464699881	0	0	0	0.00148847739763814	3.46731583033575e-18	0	9.44695786394075e-18	3.49685381106052e-17	2.04608647926459e-17	0.0119905667367864	0.000558840554484028	0.000421197556725974	0.00149288689345829	5.46602503578178e-19	3.68681409191332e-17	0.00401611532746442	0	0.00601131434780184	1.15891406324361e-16	0.00337611822487485	6.83958558347497e-18	1.41937877640394e-17	0.0115572085423702	0	2.0178989024852e-17	0.940107450802324	4.81770735735632e-18	0.0224164318374402	0.0487553660080598	0	0.00433265071672996	6.3842545907408e-19	0.00433265071672997
