sample_id	aDC	Adipocytes	Astrocytes	B-cells	Basophils	CD4+ memory T-cells	CD4+ naive T-cells	CD4+ T-cells	CD4+ Tcm	CD4+ Tem	CD8+ naive T-cells	CD8+ T-cells	CD8+ Tcm	CD8+ Tem	cDC	Chondrocytes	Class-switched memory B-cells	CLP	CMP	DC	Endothelial cells	Eosinophils	Epithelial cells	Erythrocytes	Fibroblasts	GMP	Hepatocytes	HSC	iDC	Keratinocytes	ly Endothelial cells	Macrophages	Macrophages M1	Macrophages M2	Mast cells	Megakaryocytes	Melanocytes	Memory B-cells	MEP	Mesangial cells	Monocytes	MPP	MSC	mv Endothelial cells	Myocytes	naive B-cells	Neurons	Neutrophils	NK cells	NKT	Osteoblast	pDC	Pericytes	Plasma cells	Platelets	Preadipocytes	pro B-cells	Sebocytes	Skeletal muscle	Smooth muscle	Tgd cells	Th1 cells	Th2 cells	Tregs	ImmuneScore	StromaScore	MicroenvironmentScore
GBX.DISC.PCA107.CEL	0	6.67172932587868e-19	9.68890758821278e-18	0.0475986036137976	0.0861438771554979	0.00690457025115337	0.00197564578411303	7.94740117815844e-19	0.00272254408133913	3.32320448301728e-18	0.00389715933168792	0.0394644354602431	0.0108501940830458	0	0.107952054272634	0	0.00914215832731652	0.114597025172878	0	0.00120117410774277	0.00290560670092144	2.19358762022695e-20	0.00649610659531893	2.52438986230649e-20	1.45120703931263e-17	0	1.09059131630285e-18	0.00524773246550005	0.0101440633168339	2.54178876627806e-19	0.000227500908718726	6.7570540756252e-20	0	0.00781512065224236	0	0.00943943262303621	0	0.0267803115947955	0.033801859558715	0	0	0	7.01316533331232e-18	0	0.00456320036770669	0.0019088024920617	0.000686756203419976	0.00149527342998161	1.90684820412053e-17	8.30638248376321e-20	0.026921609104447	0	8.6895136814006e-18	5.75686579035033e-19	0	0.0149938999290182	0.00505607316365622	0	0	0.564387683208935	0	0.029009976190518	0.0781081204936057	4.59289903306133e-18	0.0598396577411767	0.00145280335046073	0.0612924610916374
GBX.DISC.PCA494.CEL	0	0	2.33403735075632e-17	0.0928351517781792	0.0645026523749487	0.0224783760284708	0.00373490261045419	9.2680343977391e-20	0.00466996384708508	0	0.0155051735051687	0	2.27038788863109e-20	0	0.0215882977655416	0	0.0165196192735228	0.153088931774717	0	0.00156548466727129	0.0022988688160563	1.95985019211671e-18	0.00612947063208674	8.28025779337203e-19	5.44468263998129e-18	7.25053124883071e-19	0	0.00965557422690198	0.0171526376435443	0	0.000683568665216535	0.00751940515668891	0	0.0107372197231307	0.00539392593802604	0.00261141950867154	0	0.0270413603004191	0.043994256534854	2.8848392225345e-18	2.0745939871417e-18	0	2.14769519422091e-18	1.97056993374572e-19	0	0.000782779587043603	0.000417389880610326	1.51029082744902e-19	0	0	0.133526076590245	0.005963969245678	9.7066539498543e-18	0.00282988053476522	0	0.0564718838936619	0.00453265768056481	0	0	0.371301349345198	2.65080561978113e-17	0.056275297146678	0.0476416875010277	1.75876431777493e-17	0.071542645026777	0.00114943440802815	0.0726920794348051
GBX.DISC.PCA62.CEL	0	0	0	0.0416436822758998	0.0799932556626982	0.0396914714502606	0	0	0.010939534940489	0.0226132723628779	0.0282840675629131	0	0	9.44320257331422e-18	0.0274453602406563	1.00473921302707e-17	0.00723761506081208	0.211977959282994	0	0	0.00320613555490702	2.56954528974117e-18	0.00659363444865408	5.0484753855608e-19	1.76403676159533e-17	7.75863235192817e-19	0	0.0280276784337455	0.00553698034397807	0	0	0	0	0.000520401368389911	0.0164464764613502	0.000586531636302342	0.000530197359833299	0.0131354023109694	0.0237392853255687	0	0	0	0.0491011042090771	1.00417036825909e-20	0.00587550106825359	0.00484968063991286	0.00120382411948877	2.91206891575216e-20	0	0.0130148411885782	0.0733838463574154	0.00825604617582257	0	0.00278626035727523	0	6.98353561313345e-18	3.56175170648318e-19	0	0	0.361819330457434	0	0.0435546432184447	0.0325438766610808	1.05837136028513e-17	0.0387267724915	0.00160306777745352	0.0403298402689535
GBX.DISC.PCA74.CEL	0.029231933907043	7.73333523723612e-19	0	0.0388136421055723	0.0235449660538792	0.0331242031469876	0.00117493693334091	0.00811554955629822	0.0315679160357838	0.00948249499845678	0.0308656499787689	0.00935317290887882	1.56462326508676e-19	0	0.0535504540989518	2.27601495114325e-18	0	0.178643609674272	0	0.00271753958280532	9.06389757131318e-19	0.00343420374376502	0.00109580122614566	1.62238036407697e-19	0	8.49478173807287e-18	0	0.00240595329443766	0.00795021483415572	0	3.41771226242257e-20	0	6.04627751387412e-19	0.00282852219767054	0.00287459639841315	0.00307390758793865	3.92498495096466e-18	0.00678946064996559	0.0303725622727376	8.74759991732805e-18	0.00336443022881419	4.82363248931424e-18	2.84632348206077e-17	0	0.00411733534832847	0.00633449597832968	0.000398188949371549	0.00166161862909864	0	0	0.0369690040488216	9.41651417044905e-05	0	0.00839740841550216	0	6.30239258938413e-19	0	0	5.83325167593089e-18	0.601249774799447	2.86726670039838e-18	0.0142714592170939	0.0287759959994622	0	0.0468898354357638	8.39861640427465e-19	0.0468898354357638
GBX.DISC.PCA338.CEL	4.10542912350771e-18	1.98500154489732e-18	3.13955624414532e-18	0.0303867349602732	0.0844709226625561	0.0123837949588778	0	0	0.0150668859449998	0.00344299725807496	0.00935996983023557	0.00272106781661944	5.07531164801746e-19	1.91373914252716e-18	0.00672351301817995	0	0.00187075151826709	0.200839787425236	1.8867261991142e-18	0	0	1.21092056482739e-19	0.0063955780896785	2.74386294566551e-18	1.22077416789201e-17	0	5.72642703681512e-20	0.0264634415167656	0.00275748023708997	8.33883118749324e-20	0.000171647183763969	0.00468617392663828	1.12095935125889e-18	0.00877889686883631	0.00566790020134395	0.00246514532781014	0	0.0101054325422825	0.0602082321651581	0	6.83293266813701e-19	1.34637877829441e-17	1.3725528612785e-17	0	0.00737499162513201	0	0.000336818160157841	0	1.47221500362003e-17	0	0.0655697392591241	0.00113670832338505	5.82542459900989e-18	0.0102890723436489	0	0.0269644380953485	0.00200826156914696	5.71098767021523e-20	1.97799137157308e-18	0.309007232694698	0	0.0362491335404127	0.0585076593222357	0	0.0289745846032499	7.09637161190872e-18	0.0289745846032499
GBX.DISC.PCA255.CEL	0.0683920552824037	1.89667863739761e-19	1.78253566065525e-17	0.0297965238821039	0.21241892225632	2.1520678657175e-19	5.7462465462547e-18	0	6.32211273224067e-19	0.0256823133167351	6.91268006161579e-18	0	0	0	0.0513808300340616	0	3.92369276766658e-20	0.0253940184136183	0	0.0155787877949292	0.00534399383130053	1.58030179107122e-18	0.00384299185880278	1.41701946362539e-18	0	0	0.00291646383455739	0.000547060659255868	0.00453242898303838	1.33760145829704e-18	1.23808921291401e-20	1.39820155919521e-19	0	0.00376205031312794	0.00228146915413152	0.00171989103685794	0.00212716910072109	0.0226769265499663	0.0177834639497543	6.37606928424653e-19	7.49430001504353e-18	9.46376669100059e-20	1.0842021724855e-19	0.000288804310607875	0.0129021044779573	0.00979214507768004	0.00111540794440495	0.00132743255195235	6.80756123580594e-19	0.197951107612408	0.072035764902001	0.00218131577421033	0.140883883458515	0.0142463929915194	2.92920300162891e-18	0.112171043156439	7.49957013226371e-19	1.80920818021563e-19	1.37061624493605e-19	0.194267457225225	3.85141190887355e-18	0.00838123425837689	0.0100800592328403	0	0.0326561422554113	0.00267199691565027	0.0353281391710616
GBX.DISC.PCA128.CEL	0.00137135095877883	1.09727543650736e-18	2.53942505648486e-17	0.0309961364242293	0.186455854274177	0.00238139928228354	0	7.40790043533214e-18	0	1.65419304335165e-18	2.87330286039934e-20	4.79252260507861e-18	0	5.84769175192163e-18	0.0202332978798272	6.06555940145206e-18	0.0392529775286939	0.195323850506682	2.61269230893778e-18	0.000625880627182992	0.00136103301431622	0.0144268829225346	0.0130264429346846	0	1.55360945721326e-17	7.76778745717481e-20	0	0.0660542162934099	0.0537554257023427	0	4.28024758562327e-19	0.00918194462774806	0	0.0228374422382127	0.00272008165346558	0	0.00264002967870749	0	0.00412691228885158	1.63120316404373e-18	0	2.97544679014685e-17	0.0594747117417084	0	3.58235486976542e-19	0.000410527241815671	0.000478251503282934	0	0	0	0.0657946531812196	0.00253343008754249	9.64450340441757e-18	0.041999810314158	0	0.0167905107894789	5.16250769316542e-19	2.91410890022793e-05	7.44300983825132e-19	0.378161681739621	0	0.0420966330850129	0	0	0.0386339508367737	0.000680516507158117	0.0393144673439319
GBX.DISC.PCA344.CEL	0.010363896446874	1.34319309567108e-18	3.06573564211095e-17	0.0304450041866393	0.140021584082766	0	0.0261655584217124	0	0.0105563228855851	8.46779881767952e-19	0.0106894149053256	0.00219512264756326	0	4.81595996501676e-18	0.0108937407355162	0	0.0187385810202266	0.180464163792778	2.12266508990605e-18	0	0.0067344546663179	0.00242729638574282	0.0287427485444605	0	5.51087010036492e-18	0	0	0.0213433082661693	0.0302049209310855	3.80407523666739e-19	0.00103130502150763	0.00334824185785032	8.45723138763274e-19	0.011080389587821	0.00187572637308692	0.00690607195355804	0.00276359250076497	0.00365796520890555	0.00665776502252195	2.14709160073917e-18	4.46366377954566e-19	2.10266631962889e-17	0.0589826873060836	0.0036140664545498	0.00520890274976966	5.17236828937461e-20	0.00063821028371047	6.36017760196501e-18	7.11730822042606e-18	0.0318984470139625	0.0433753233281505	9.65048852186712e-20	0	0.0350074824657437	3.85436937044044e-19	0.0256470407244988	0.00183480449370111	0	2.21086549578057e-18	0.39323129688934	2.61670045022975e-19	0.0134234718641924	0	0.00317046274762922	0.0268609276339217	0.00336722733315895	0.0302281549670807
GBX.DISC.PCA87.CEL	0.0536431120436913	0	1.46620951719032e-17	0.046961824989146	0.0697804328005376	0.00905185380156155	0.0274667007985879	0	1.94439602089808e-20	3.20199435992723e-19	0.0107012353742302	0.00938619982061732	2.96480882818769e-18	2.12176999857898e-18	0.0109453669385298	0	0.0141090555934671	0.239111833739015	0	0.000128216706960053	0.0177825365192122	8.23516252570272e-19	0.0215550425671136	0	1.59434496856831e-17	0	0	0.0406457936435858	0	2.80881008992432e-19	0.00198931802298068	0.0021605834614454	6.32523576388219e-19	0.00763015956204734	0.00308402784536211	0.000852215187038636	0	0.000384377600734202	8.89999349269621e-19	0	8.67606503232297e-18	1.83012654934935e-17	3.01782970313281e-18	0.00539758859817592	0.00712845483631094	0.00176730155603903	0.000102060129867326	3.66709439159353e-19	0	0.0364705332892355	0.0940432859209801	1.97299873039345e-18	0	0.0246304032705515	0	0.0502447837505684	0	1.94812488348491e-20	0	0.435301355342934	0	0.00309629739163716	0.00731605772616895	0.00858080035675691	0.0411472352156873	0.0088912682596061	0.0500385034752934
GBX.DISC.PCA369.CEL	0.0184934874435584	1.63081518691718e-19	2.97359886621705e-17	0.0100136586473718	0.0454629979239279	0.0268755471102792	0.0114494674091499	5.13082983334835e-20	0.0070617216781971	0.00492902182479755	0.0348263386912372	0.00793535439889108	6.94055836327175e-19	5.33149649627822e-18	0.0201562252317476	1.39463092719262e-18	5.1977333844898e-20	0.309441542452072	0	0	5.14187240242169e-19	0	0.0104141939050258	3.15354633585397e-18	1.4330641824107e-17	0	0	0.00992134520478018	0.0179030986743787	2.21433892992684e-20	1.32355602766651e-19	0.0051900317072169	2.48014555383982e-18	0.00734522109770217	0.00730596201472736	0	0	2.7964019582364e-19	0	0	0	1.69604727667049e-17	0	3.17517126406382e-19	0.00389055726642749	0	0.000277213151598108	1.1762846965064e-18	0	0.0213523961402345	0.0747167971788624	0.00260170821566922	0	0.0196715376873278	0	0.0168869777935147	8.33633563870923e-20	0	8.56933697106527e-18	0.620164322104072	0	0.0110495350651277	0	0.0121114823602168	0.0202966711788048	7.50395529152045e-18	0.0202966711788048
